force,pool,pool_name,current_fte,target_fte,allocated_fte,absolute_deviation,harm_weighted_demand,demand_pressure_index_pct,reallocation_pct
Bedfordshire,Pool_3_PCSOs,Police Community Support Officers (Community),45.0,73.87280121739273,74.0,0.12719878,47342.0,100.17218621808172,64.44444444444444
Cambridgeshire,Pool_3_PCSOs,Police Community Support Officers (Community),19.0,95.45089322099875,38.0,57.450893,61170.5,39.81104703967315,100.0
Cheshire,Pool_3_PCSOs,Police Community Support Officers (Community),85.0,122.92966533536413,123.0,0.070334665,78780.5,100.0572153714435,44.70588235294118
City of London,Pool_3_PCSOs,Police Community Support Officers (Community),3.0,11.170955682381704,6.0,5.1709557,7159.0,53.71071348410157,100.0
Cleveland,Pool_3_PCSOs,Police Community Support Officers (Community),82.0,122.7369550368903,123.0,0.26304496,78657.0,100.21431602489295,50.0
Cumbria,Pool_3_PCSOs,Police Community Support Officers (Community),51.0,55.080816403463025,56.0,0.9191836,35299.0,101.66879079969335,9.803921568627452
Derbyshire,Pool_3_PCSOs,Police Community Support Officers (Community),139.0,136.6347224324948,137.0,0.36527757,87563.5,100.26733875621233,-1.4388489208633095
Devon and Cornwall,Pool_3_PCSOs,Police Community Support Officers (Community),156.0,152.2590804779883,153.0,0.74091952,97576.5,100.4866176254879,-1.9230769230769231
Dorset,Pool_3_PCSOs,Police Community Support Officers (Community),65.0,65.90692207804945,66.0,0.093077922,42237.0,100.14122632193371,1.5384615384615385
Durham,Pool_3_PCSOs,Police Community Support Officers (Community),130.0,91.1550919926712,92.0,0.84490801,58417.5,100.92689063096631,-29.230769230769234
Dyfed-Powys,Pool_3_PCSOs,Police Community Support Officers (Community),115.0,44.399048401822576,58.0,13.600952,28453.5,130.6334304174391,-49.56521739130435
Essex,Pool_3_PCSOs,Police Community Support Officers (Community),73.0,170.88332150984564,146.0,24.883322,109512.0,85.43841418226883,100.0
Gloucestershire,Pool_3_PCSOs,Police Community Support Officers (Community),72.0,70.31507263018358,71.0,0.68492737,45062.0,100.97408328569715,-1.3888888888888888
Gwent,Pool_3_PCSOs,Police Community Support Officers (Community),136.0,118.16496172087153,119.0,0.83503828,75727.0,100.70667164527248,-12.5
Hampshire,Pool_3_PCSOs,Police Community Support Officers (Community),167.0,205.97766133029623,206.0,0.02233867,132002.5,100.01084519047332,23.353293413173652
Hertfordshire,Pool_3_PCSOs,Police Community Support Officers (Community),136.0,114.44573098069039,115.0,0.55426902,73343.5,100.48430729094049,-15.441176470588236
Humberside,Pool_3_PCSOs,Police Community Support Officers (Community),131.0,131.79199845424762,132.0,0.20800155,84460.0,100.15782562537329,0.7633587786259541
Kent,Pool_3_PCSOs,Police Community Support Officers (Community),83.0,166.14904583721736,166.0,0.14904584,106478.0,99.91029389517928,100.0
Lancashire,Pool_3_PCSOs,Police Community Support Officers (Community),231.0,172.70197618896506,173.0,0.29802381,110677.5,100.17256537395313,-25.108225108225106
Leicestershire,Pool_3_PCSOs,Police Community Support Officers (Community),155.0,143.93040664718617,144.0,0.069593353,92239.0,100.04835208517436,-7.096774193548387
Lincolnshire,Pool_3_PCSOs,Police Community Support Officers (Community),38.0,84.51009761169307,76.0,8.5100976,54159.0,89.93008190477396,100.0
Merseyside,Pool_3_PCSOs,Police Community Support Officers (Community),183.0,215.0131996567149,216.0,0.98680034,137793.0,100.45894872726913,18.0327868852459
Metropolitan Police,Pool_3_PCSOs,Police Community Support Officers (Community),1440.0,1233.327965548841,1234.0,0.67203445,790388.5,100.05448951697613,-14.305555555555555
Norfolk,Pool_3_PCSOs,Police Community Support Officers (Community),0.0,78.20371160940984,0.0,78.203712,50117.5,0.0,0.0
North Wales,Pool_3_PCSOs,Police Community Support Officers (Community),205.0,79.72276809171163,241.0,161.27723,51091.0,302.29758169304654,17.560975609756095
North Yorkshire,Pool_3_PCSOs,Police Community Support Officers (Community),124.0,73.01223660517964,74.0,0.98776339,46790.5,101.35287376575215,-40.32258064516129
Northamptonshire,Pool_3_PCSOs,Police Community Support Officers (Community),77.0,83.82429861429024,84.0,0.17570139,53719.5,100.20960674722521,9.090909090909092
Northumbria,Pool_3_PCSOs,Police Community Support Officers (Community),106.0,228.7900354884998,212.0,16.790035,146622.0,92.66137817031644,100.0
Nottinghamshire,Pool_3_PCSOs,Police Community Support Officers (Community),136.0,144.95403381964636,145.0,0.04596618,92895.0,100.03171086663987,6.61764705882353
South Wales,Pool_3_PCSOs,Police Community Support Officers (Community),324.0,207.22832776128226,208.0,0.77167224,132804.0,100.37237777626942,-35.80246913580247
South Yorkshire,Pool_3_PCSOs,Police Community Support Officers (Community),119.0,211.01465601429234,212.0,0.98534399,135230.5,100.46695523634193,78.15126050420169
Staffordshire,Pool_3_PCSOs,Police Community Support Officers (Community),176.0,139.3428092584165,140.0,0.65719074,89299.0,100.4716359208495,-20.454545454545457
Suffolk,Pool_3_PCSOs,Police Community Support Officers (Community),25.0,50.28334423619349,50.0,0.28334424,32224.5,99.43650479001049,100.0
Surrey,Pool_3_PCSOs,Police Community Support Officers (Community),91.0,128.93333232627955,129.0,0.066667674,82628.0,100.05170708963895,41.75824175824176
Sussex,Pool_3_PCSOs,Police Community Support Officers (Community),254.0,238.2359609282676,239.0,0.76403907,152675.5,100.32070686085987,-5.905511811023622
Thames Valley,Pool_3_PCSOs,Police Community Support Officers (Community),242.0,248.644657656767,249.0,0.35534234,159346.0,100.14291171448515,2.8925619834710745
Warwickshire,Pool_3_PCSOs,Police Community Support Officers (Community),81.0,63.20039565940284,64.0,0.79960434,40502.5,101.26518882082061,-20.98765432098765
West Mercia,Pool_3_PCSOs,Police Community Support Officers (Community),182.0,114.25848210767938,115.0,0.74151789,73223.5,100.64898279641226,-36.81318681318682
West Midlands,Pool_3_PCSOs,Police Community Support Officers (Community),304.0,287.24523262434866,288.0,0.75476738,184083.5,100.26276062748043,-5.263157894736842
West Yorkshire,Pool_3_PCSOs,Police Community Support Officers (Community),462.0,342.1403605620758,343.0,0.85963944,219263.5,100.25125344361945,-25.757575757575758
Wiltshire,Pool_3_PCSOs,Police Community Support Officers (Community),72.0,70.30414977925794,71.0,0.69585022,45055.0,100.98977119121261,-1.3888888888888888
